Variable1,Variable2,Correlation Coefficient,p.value,p.adjusted,Method
MO_abs,hsa-miR-1255b-5p,0.054703125886661916,0.3953394592083889,0.8260211964338349,Kendall
Eo_Abs,hsa-miR-1255b-5p,0.07867597559432253,0.23963214623628898,0.7240481065484331,Kendall
Total_cholesterol,hsa-miR-1255b-5p,-0.027148620727831533,0.6566429714289077,0.9249400382826823,Kendall
LDL,hsa-miR-1255b-5p,-0.03814662757755241,0.5324188608691137,0.8901970392766195,Kendall
HDL,hsa-miR-1255b-5p,-0.13012973899231473,0.033634685082985914,0.4346428037728565,Kendall
TG,hsa-miR-1255b-5p,0.05885233974909572,0.33575186059396417,0.7974685571624914,Kendall
Creatinine,hsa-miR-1255b-5p,-0.10859457818253257,0.07781023066945615,0.5391920209770764,Kendall
ALAT,hsa-miR-1255b-5p,0.11134009122949794,0.0700452463794164,0.5307456379067308,Kendall
ASAT,hsa-miR-1255b-5p,0.006247085714828451,0.9198356664592889,0.9852010683519797,Kendall
Glucose,hsa-miR-1255b-5p,0.0570544448276812,0.35609199686979587,0.8089583358968185,Kendall
HbA1c,hsa-miR-1255b-5p,-0.12992998471906256,0.10691505899968434,0.5915885809267699,Kendall
Target_fibrotic,hsa-miR-1255b-5p,-0.10345870887635042,0.29531471374405294,0.7658705951103518,Kendall
Target_lipidic,hsa-miR-1255b-5p,0.10048147984393746,0.3094305769852516,0.7804312758236591,Kendall
Target_necrotic,hsa-miR-1255b-5p,0.12731643348615124,0.1979242045294747,0.6878415342073773,Kendall
Target_Calcific,hsa-miR-1255b-5p,-0.023073525001200454,0.8154511294124142,0.9685801205789674,Kendall
Age,hsa-miR-125a-3p,-0.05358893292624906,0.4200908644590325,0.8390067199815225,Kendall
BMI,hsa-miR-125a-3p,0.0521543369197896,0.4260357664876892,0.8436091278848757,Kendall
WBC,hsa-miR-125a-3p,-0.04765031004882232,0.46722974354508867,0.8667083790609004,Kendall
RBC,hsa-miR-125a-3p,-0.06781612998572738,0.3005517123656642,0.7722183367490288,Kendall
HGB,hsa-miR-125a-3p,-0.1283386449363511,0.051804290410131584,0.48850913787515526,Kendall
HCT,hsa-miR-125a-3p,-0.10350549628292975,0.11500105840326577,0.5999068269119742,Kendall
PLT,hsa-miR-125a-3p,0.11677552741043867,0.07459918290240466,0.5338416092562829,Kendall
NE_abs,hsa-miR-125a-3p,0.0016643927856219865,0.9798068363667992,0.9957080980959742,Kendall
LY_abs,hsa-miR-125a-3p,-0.03721017956036902,0.5755946817705322,0.9006841123367939,Kendall
MO_abs,hsa-miR-125a-3p,-0.1518864219578849,0.027510867657406055,0.41399782437763694,Kendall
Eo_Abs,hsa-miR-125a-3p,-0.03968090493023441,0.5796798721020329,0.9023355839635713,Kendall
Total_cholesterol,hsa-miR-125a-3p,0.1646727661284138,0.01177126479423681,0.3251861927038192,Kendall
LDL,hsa-miR-125a-3p,0.08862508179985737,0.17543291505581643,0.663061249833441,Kendall
HDL,hsa-miR-125a-3p,0.0515932278317729,0.43139200817978307,0.8468512630390135,Kendall
TG,hsa-miR-125a-3p,0.06414040782543866,0.3270848554214783,0.7916235011044072,Kendall
Creatinine,hsa-miR-125a-3p,0.007585269854498718,0.9083917523039232,0.9826852994814254,Kendall
ALAT,hsa-miR-125a-3p,-0.06661198653868365,0.31132078200529145,0.782334019136245,Kendall
ASAT,hsa-miR-125a-3p,-0.11938683832304038,0.07240341161519474,0.5338416092562829,Kendall
Glucose,hsa-miR-125a-3p,0.15071452999923743,0.022777996352897997,0.39931578155732333,Kendall
HbA1c,hsa-miR-125a-3p,-0.08140935330193626,0.3475257428494579,0.8031026002573427,Kendall
Target_fibrotic,hsa-miR-125a-3p,-0.04522346124864381,0.6692454777939236,0.9320183685896777,Kendall
Target_lipidic,hsa-miR-125a-3p,-0.06728368624798226,0.5250592677633635,0.8886240772701443,Kendall
Target_necrotic,hsa-miR-125a-3p,0.06289134713834871,0.5525789715655879,0.8961206541945261,Kendall
Target_Calcific,hsa-miR-125a-3p,0.2371474187428883,0.025083779799939084,0.4096012702487567,Kendall
Age,hsa-miR-125a-5p,0.18696284617095527,0.0014471167218745471,0.14658441147458648,Kendall
BMI,hsa-miR-125a-5p,-8.616095410375876e-4,0.9881211865371281,0.9984941719598807,Kendall
WBC,hsa-miR-125a-5p,-0.03738645662970697,0.5184071791078415,0.8859496448267753,Kendall
RBC,hsa-miR-125a-5p,-0.14493448502312567,0.012246060865258684,0.3290633380473274,Kendall
HGB,hsa-miR-125a-5p,-0.12859535269722402,0.027359364064534573,0.41399782437763694,Kendall
HCT,hsa-miR-125a-5p,-0.16745218599961437,0.003889915467765822,0.20007935404755145,Kendall
PLT,hsa-miR-125a-5p,0.033051767831772674,0.5677704924387843,0.8980030199582885,Kendall
NE_abs,hsa-miR-125a-5p,-0.0672449549905167,0.24693294715970163,0.7304581673680149,Kendall
LY_abs,hsa-miR-125a-5p,0.06203613524077032,0.290590756371461,0.7619296269077364,Kendall
MO_abs,hsa-miR-125a-5p,-0.004235634930257422,0.9444980481823534,0.9909377675726634,Kendall
Eo_Abs,hsa-miR-125a-5p,0.029831513015019698,0.6371422574657568,0.9195993613511726,Kendall
Total_cholesterol,hsa-miR-125a-5p,0.08520930673827147,0.14002872258498997,0.6256826534062245,Kendall
LDL,hsa-miR-125a-5p,0.019674269994900268,0.7334430068068907,0.9551396071904356,Kendall
HDL,hsa-miR-125a-5p,0.1602816280262201,0.00564922571932027,0.22773060717213714,Kendall
TG,hsa-miR-125a-5p,0.07713428472104486,0.1821000972075766,0.6675795282556196,Kendall
Creatinine,hsa-miR-125a-5p,-0.04227385190569397,0.46778283959477807,0.8667083790609004,Kendall
ALAT,hsa-miR-125a-5p,-0.11401093387765047,0.04976091937708425,0.4835414629143293,Kendall
ASAT,hsa-miR-125a-5p,-0.1066283397592513,0.06923679564395509,0.5298922759950696,Kendall
Glucose,hsa-miR-125a-5p,0.027874364852541304,0.6334625452074291,0.918637639999598,Kendall
HbA1c,hsa-miR-125a-5p,-0.0012635037587829976,0.9864203713638315,0.9979460576670547,Kendall
Target_fibrotic,hsa-miR-125a-5p,-0.03132832080200501,0.7307015627296689,0.9551396071904356,Kendall
Target_lipidic,hsa-miR-125a-5p,0.015037593984962403,0.868776825928015,0.9763400590948447,Kendall
Target_necrotic,hsa-miR-125a-5p,0.023190223639514975,0.7989482929927907,0.964626193016168,Kendall
Target_Calcific,hsa-miR-125a-5p,-0.05263157894736841,0.5630998624487371,0.8971838992529558,Kendall
Age,hsa-miR-125b-5p,0.04005292458479309,0.4951575312238772,0.8758061305909824,Kendall
BMI,hsa-miR-125b-5p,-0.009049814931605822,0.8757721997960775,0.977860348278573,Kendall
WBC,hsa-miR-125b-5p,-0.11542880552253741,0.04623180638693794,0.4745578477887261,Kendall
RBC,hsa-miR-125b-5p,-0.06979777478598796,0.22782579520728594,0.7148391117492577,Kendall
HGB,hsa-miR-125b-5p,-0.06024760762036764,0.301430772166986,0.7722183832372518,Kendall
HCT,hsa-miR-125b-5p,-0.11847468170637823,0.04115835545205914,0.46240344581306875,Kendall
PLT,hsa-miR-125b-5p,-0.04792434968593198,0.40757228239763527,0.832056277757828,Kendall
NE_abs,hsa-miR-125b-5p,-0.1572438354616367,0.006797402399140819,0.24772755410202094,Kendall
LY_abs,hsa-miR-125b-5p,-0.007551803228592642,0.8976659317197634,0.9815827069173628,Kendall
MO_abs,hsa-miR-125b-5p,-0.07351766833042081,0.22705654117606838,0.7148391117492577,Kendall
Eo_Abs,hsa-miR-125b-5p,0.009988144876587144,0.8745477834337821,0.9773253866413445,Kendall
Total_cholesterol,hsa-miR-125b-5p,0.0858816784013896,0.13704870410013473,0.6228822222996154,Kendall
LDL,hsa-miR-125b-5p,0.05818147160828814,0.3140428310839097,0.7845014899555603,Kendall
HDL,hsa-miR-125b-5p,0.02771059169882126,0.632427235563625,0.918637639999598,Kendall
TG,hsa-miR-125b-5p,0.0643530869446504,0.2657609616762241,0.7437432707235103,Kendall
Creatinine,hsa-miR-125b-5p,-0.08479180241104724,0.14541263617252193,0.6295425757110817,Kendall
ALAT,hsa-miR-125b-5p,0.032677794293757,0.5739939409886698,0.9006841123367939,Kendall
ASAT,hsa-miR-125b-5p,0.07329641503310265,0.21183515955783064,0.6974763762114424,Kendall
Glucose,hsa-miR-125b-5p,-0.03637905230371606,0.5338359311193215,0.8901970392766195,Kendall
HbA1c,hsa-miR-125b-5p,0.06726662553842416,0.3651872137780729,0.8137582766341129,Kendall
Target_fibrotic,hsa-miR-125b-5p,0.026967713406762798,0.7672062368851071,0.9590338982329908,Kendall
Target_lipidic,hsa-miR-125b-5p,0.03198496241267215,0.7255082270378901,0.9550016226349155,Kendall
Target_necrotic,hsa-miR-125b-5p,-0.018820580867986506,0.8363704530169945,0.9685801205789674,Kendall
Target_Calcific,hsa-miR-125b-5p,-0.17873949583552087,0.04975463673552087,0.4835414629143293,Kendall
Age,hsa-miR-126-3p,0.2622293401239203,7.92060346689236e-6,0.006061901853328286,Kendall
BMI,hsa-miR-126-3p,0.020247824214383307,0.7264300935287079,0.9550016226349155,Kendall
WBC,hsa-miR-126-3p,-0.08587033410339037,0.13799502634198552,0.6237114751353244,Kendall
RBC,hsa-miR-126-3p,-0.12253747693634251,0.03418565790362257,0.4346428037728565,Kendall
HGB,hsa-miR-126-3p,-0.10819372712163067,0.06340871372707133,0.5150462501793246,Kendall
HCT,hsa-miR-126-3p,-0.08842252761681764,0.12739745212546463,0.611536778436825,Kendall
PLT,hsa-miR-126-3p,-0.00721325226296016,0.9007694348841416,0.9815827069173628,Kendall
NE_abs,hsa-miR-126-3p,-0.09816466098294079,0.09098776509229696,0.56386631594881,Kendall
LY_abs,hsa-miR-126-3p,0.05787851065673281,0.3241337678209295,0.789753587814136,Kendall
MO_abs,hsa-miR-126-3p,-0.11344633015905689,0.06223439680815366,0.5109347944338252,Kendall
Eo_Abs,hsa-miR-126-3p,-0.04289820879845808,0.49757532621334316,0.8771180455870748,Kendall
Total_cholesterol,hsa-miR-126-3p,0.17117077633551886,0.0030327934425682566,0.1816511411513926,Kendall
LDL,hsa-miR-126-3p,0.10009150472815383,0.08318091259082674,0.5488427051998499,Kendall
HDL,hsa-miR-126-3p,0.16114393671768598,0.0053964376752311935,0.22257881860474527,Kendall
TG,hsa-miR-126-3p,0.0637944642114081,0.26978570671256624,0.745022222750514,Kendall
Creatinine,hsa-miR-126-3p,0.022762843333835218,0.6958177807222128,0.9436405815752843,Kendall
ALAT,hsa-miR-126-3p,-0.16723045898941902,0.004003727404577915,0.20007935404755145,Kendall
ASAT,hsa-miR-126-3p,-0.18755651557652922,0.0013942907497051533,0.14658441147458648,Kendall
Glucose,hsa-miR-126-3p,0.008492970541008678,0.8844795651790521,0.9793936947984034,Kendall
HbA1c,hsa-miR-126-3p,0.11093563002114719,0.13507428601899368,0.6197577241156594,Kendall
Target_fibrotic,hsa-miR-126-3p,0.14411027568922305,0.11335646272543817,0.5986862066908727,Kendall
Target_lipidic,hsa-miR-126-3p,-0.19548872180451124,0.031732757479779355,0.4346428037728565,Kendall
Target_necrotic,hsa-miR-126-3p,-0.13851457903602188,0.12816785076170856,0.611536778436825,Kendall
Target_Calcific,hsa-miR-126-3p,0.09523809523809522,0.29540175933403096,0.7658705951103518,Kendall
Age,hsa-miR-126-5p,0.014676013051420139,0.8027757814086559,0.9659773493982842,Kendall
BMI,hsa-miR-126-5p,-0.04604033027123485,0.426769975108948,0.8442250397904749,Kendall
WBC,hsa-miR-126-5p,-0.05544188569555026,0.3387288033383213,0.7992948906466807,Kendall
RBC,hsa-miR-126-5p,0.03956241360583834,0.4945704083068706,0.8757813019517214,Kendall
HGB,hsa-miR-126-5p,0.03422216810106151,0.5575105185647582,0.8961206541945261,Kendall
HCT,hsa-miR-126-5p,0.010592418768501675,0.8552482508830935,0.9717973874082372,Kendall
PLT,hsa-miR-126-5p,-0.1360209224462752,0.018833647066779237,0.38226822718358,Kendall
NE_abs,hsa-miR-126-5p,-0.0028140558555108225,0.9613960413671917,0.9938692956623455,Kendall
LY_abs,hsa-miR-126-5p,-0.02048298866193363,0.727409097368191,0.955008703044074,Kendall
MO_abs,hsa-miR-126-5p,0.04194574626060594,0.491012107215768,0.8757813019517214,Kendall
Eo_Abs,hsa-miR-126-5p,0.1007024684895621,0.11169239151210086,0.5986862066908727,Kendall
Total_cholesterol,hsa-miR-126-5p,0.016781411456821712,0.7715708495181312,0.9614016082859288,Kendall
LDL,hsa-miR-126-5p,8.610484061354346e-4,0.9881211056076838,0.9984941719598807,Kendall
HDL,hsa-miR-126-5p,0.05201275495604522,0.36965206295625197,0.8137582766341129,Kendall
TG,hsa-miR-126-5p,-0.038556834424314006,0.5052328548688482,0.8804517381890162,Kendall
Creatinine,hsa-miR-126-5p,0.019316002805403097,0.7403267197242254,0.9566585611439493,Kendall
ALAT,hsa-miR-126-5p,-7.580432327932825e-4,0.9896027067484395,0.9984941719598807,Kendall
ASAT,hsa-miR-126-5p,-0.012152931586699533,0.8361196162622396,0.9685801205789674,Kendall
Glucose,hsa-miR-126-5p,0.040005630750161524,0.4941811068069098,0.8757813019517214,Kendall
HbA1c,hsa-miR-126-5p,-0.023560342067236225,0.7515050986142473,0.9567277638896071,Kendall
Target_fibrotic,hsa-miR-126-5p,0.1290540037539978,0.15790952443795778,0.6416995895744267,Kendall
Target_lipidic,hsa-miR-126-5p,-0.06610083119107206,0.469501821292836,0.8669756604505467,Kendall
Target_necrotic,hsa-miR-126-5p,-0.13350255649602938,0.14418264685638763,0.628563336422024,Kendall
Target_Calcific,hsa-miR-126-5p,-0.0862458464112083,0.34531221156749076,0.8017574011869193,Kendall
Age,hsa-miR-1260a,-0.10572622368477833,0.07736298846537219,0.5376465114318897,Kendall
BMI,hsa-miR-1260a,-0.10331198188618484,0.0800144626416532,0.5445556145270908,Kendall
WBC,hsa-miR-1260a,0.09130266372812883,0.12196920041679069,0.6082025502213692,Kendall
RBC,hsa-miR-1260a,0.061973796630932,0.293553016168165,0.764842690735525,Kendall
HGB,hsa-miR-1260a,0.058338704418497186,0.3263347360763899,0.7915574263757307,Kendall
HCT,hsa-miR-1260a,0.019383653679755333,0.7431355622944011,0.9566585611439493,Kendall
PLT,hsa-miR-1260a,-0.12525294387744063,0.03373957751465815,0.4346428037728565,Kendall
NE_abs,hsa-miR-1260a,0.05956102702641869,0.314587196888869,0.7845014899555603,Kendall
LY_abs,hsa-miR-1260a,0.05062403836688936,0.3977310850078706,0.827012304599417,Kendall
MO_abs,hsa-miR-1260a,0.0951306327771855,0.12523191651496338,0.611536778436825,Kendall
Eo_Abs,hsa-miR-1260a,0.05185162136855619,0.4214520318030009,0.8398767833265524,Kendall
Total_cholesterol,hsa-miR-1260a,-0.129750451269215,0.0275589425567532,0.41399782437763694,Kendall
LDL,hsa-miR-1260a,-0.14614433489336823,0.013114969548821206,0.3390589582307336,Kendall
HDL,hsa-miR-1260a,-0.08492832642990986,0.15044199997765262,0.6351832148861086,Kendall
TG,hsa-miR-1260a,-0.044920158470503443,0.44606357877264485,0.8546736575307631,Kendall
Creatinine,hsa-miR-1260a,-0.018237681719813038,0.7587112221742798,0.9582516085404255,Kendall
ALAT,hsa-miR-1260a,0.05415571371261328,0.3607726608226727,0.8122149943540938,Kendall
ASAT,hsa-miR-1260a,0.043084179377103037,0.4715990192821958,0.8678409720150521,Kendall
Glucose,hsa-miR-1260a,-0.009160041408587715,0.8778738267456525,0.9782874807675221,Kendall
HbA1c,hsa-miR-1260a,-0.08533011774804482,0.2535737698080412,0.7339684138951851,Kendall
Target_fibrotic,hsa-miR-1260a,0.017699808135119715,0.8469222883773009,0.9694656986832437,Kendall
Target_lipidic,hsa-miR-1260a,0.011378448086862674,0.9012348810696721,0.9815827069173628,Kendall
Target_necrotic,hsa-miR-1260a,-0.03604304572535815,0.6943214181030899,0.943477200215838,Kendall
Target_Calcific,hsa-miR-1260a,-0.025285440193028166,0.7827161289897824,0.964626193016168,Kendall
Age,hsa-miR-1260b,-0.1096221488802823,0.06737563983043039,0.5270557030828024,Kendall
BMI,hsa-miR-1260b,-0.08677947582681791,0.1418973112406134,0.6264570190682877,Kendall
WBC,hsa-miR-1260b,0.062119526953970126,0.2932512171343958,0.7648293766079963,Kendall
RBC,hsa-miR-1260b,0.015492986943764064,0.7931067929839409,0.964626193016168,Kendall
HGB,hsa-miR-1260b,0.02197119087804619,0.7119576132106193,0.9501964812623032,Kendall
HCT,hsa-miR-1260b,-0.007323242348212392,0.9015804863077396,0.9815827069173628,Kendall
PLT,hsa-miR-1260b,-0.028436090560971995,0.6301862327054516,0.918637639999598,Kendall
NE_abs,hsa-miR-1260b,0.08333185189135686,0.15991156795714612,0.6426317853493714,Kendall
LY_abs,hsa-miR-1260b,0.035757672510292014,0.5507444853223735,0.8961206541945261,Kendall
MO_abs,hsa-miR-1260b,0.05364905631346931,0.3877880934261142,0.821795876845406,Kendall
Eo_Abs,hsa-miR-1260b,0.05510989950884513,0.3934219672218419,0.8239253603600022,Kendall
Total_cholesterol,hsa-miR-1260b,-0.037436392344035355,0.5254056854891553,0.8886240772701443,Kendall
LDL,hsa-miR-1260b,-0.09038186286065841,0.12543486069204254,0.611536778436825,Kendall
HDL,hsa-miR-1260b,-0.03711060469006993,0.5302559541657126,0.8899916105369564,Kendall
TG,hsa-miR-1260b,0.04787366149334374,0.4172758139501847,0.837374273581381,Kendall
Creatinine,hsa-miR-1260b,-0.09023451343497592,0.1290032180096361,0.6128097694140506,Kendall
ALAT,hsa-miR-1260b,0.09349369743179574,0.11504661531793789,0.5999068269119742,Kendall
ASAT,hsa-miR-1260b,0.044171386255873406,0.461005796064526,0.8633518007864207,Kendall
Glucose,hsa-miR-1260b,-0.003469022815623159,0.9536470052362847,0.9938692956623455,Kendall
HbA1c,hsa-miR-1260b,-0.13281655719891675,0.07702973605911294,0.5364821253540647,Kendall
Target_fibrotic,hsa-miR-1260b,0,1,1,Kendall
Target_lipidic,hsa-miR-1260b,-0.030420230095688127,0.7405331658685257,0.9566585611439493,Kendall
Target_necrotic,hsa-miR-1260b,0.003169767158724326,0.9724821734628141,0.9941927257011167,Kendall
Target_Calcific,hsa-miR-1260b,0.041827816381571174,0.6488735405496473,0.9226781796748158,Kendall
Age,hsa-miR-1270,-0.1322244095638723,0.03952030747569487,0.4564270142586239,Kendall
BMI,hsa-miR-1270,-0.09909227396112016,0.11756701086196052,0.6016356395372838,Kendall
WBC,hsa-miR-1270,0.09353583605957203,0.1397330479259212,0.6256826534062245,Kendall
RBC,hsa-miR-1270,0.013911525635468653,0.8260530202395239,0.9685801205789674,Kendall
HGB,hsa-miR-1270,-0.02371645694438444,0.7099601261221726,0.9493668008246561,Kendall
HCT,hsa-miR-1270,-0.017207479690544387,0.7862727464026479,0.964626193016168,Kendall
PLT,hsa-miR-1270,0.1344129669582963,0.03369434999195187,0.4346428037728565,Kendall
NE_abs,hsa-miR-1270,0.07336179499166347,0.2482866112237576,0.7309015794522647,Kendall
LY_abs,hsa-miR-1270,0.030252513846103266,0.6376243459044084,0.9195993613511726,Kendall
MO_abs,hsa-miR-1270,-0.0063582696137755345,0.9239215219401806,0.9861354362076665,Kendall
Eo_Abs,hsa-miR-1270,-0.008781652291678724,0.8990505485544851,0.9815827069173628,Kendall
Total_cholesterol,hsa-miR-1270,0.01686636551331314,0.7894801856492997,0.964626193016168,Kendall
LDL,hsa-miR-1270,-0.026092032185377728,0.6797473865122337,0.9371564360595228,Kendall
HDL,hsa-miR-1270,-0.08433582413435611,0.1832020366043449,0.6690386644394546,Kendall
TG,hsa-miR-1270,-0.008962758663544346,0.8873064836493662,0.9799552029502906,Kendall
Creatinine,hsa-miR-1270,-0.07682624850551173,0.22779358701281868,0.7148391117492577,Kendall
ALAT,hsa-miR-1270,0.03709270820212892,0.5596035031187248,0.8967988334366759,Kendall
ASAT,hsa-miR-1270,-0.03974649508962881,0.5359333929334307,0.8901970392766195,Kendall
Glucose,hsa-miR-1270,0.006442069499891991,0.9197679469932244,0.9852010683519797,Kendall
HbA1c,hsa-miR-1270,-0.02377321858778019,0.7727025165656082,0.9617345165266544,Kendall
Target_fibrotic,hsa-miR-1270,-0.14156129655182884,0.16443328983791008,0.6496358824839127,Kendall
Target_lipidic,hsa-miR-1270,0.1365354517038349,0.1799352058346003,0.6663781962068651,Kendall
Target_necrotic,hsa-miR-1270,0.16255324993492284,0.11048590242080601,0.5986862066908727,Kendall
Target_Calcific,hsa-miR-1270,0.049420807671940244,0.6274095182113055,0.918637639999598,Kendall
Age,hsa-miR-128-3p,-0.1753529841961186,0.0028757729273214687,0.17845336867919168,Kendall
BMI,hsa-miR-128-3p,-0.020620791408786643,0.7221864562957461,0.9542337063044503,Kendall
WBC,hsa-miR-128-3p,0.08424242953750402,0.14650894124320366,0.6299826839715328,Kendall
RBC,hsa-miR-128-3p,0.07350641347185878,0.20492335896710298,0.6889621780684537,Kendall
HGB,hsa-miR-128-3p,0.061570801086467786,0.2918544439463337,0.7637180613039283,Kendall
HCT,hsa-miR-128-3p,0.03398287523680099,0.5588234892841601,0.8967462408773647,Kendall
PLT,hsa-miR-128-3p,0.1178502222082962,0.042083799122178134,0.4630562433762987,Kendall
NE_abs,hsa-miR-128-3p,0.1240869924796229,0.033020282481597885,0.4346428037728565,Kendall
LY_abs,hsa-miR-128-3p,0.04639311055309575,0.4303488390930397,0.8462376571321468,Kendall
MO_abs,hsa-miR-128-3p,0.04647541427627266,0.4459468926994413,0.8546736575307631,Kendall
Eo_Abs,hsa-miR-128-3p,-0.07883735457583266,0.21356517654208224,0.6997873671555407,Kendall
Total_cholesterol,hsa-miR-128-3p,-0.018526515362182545,0.7488607203107129,0.9567277638896071,Kendall
LDL,hsa-miR-128-3p,0.028666892861518082,0.6205204011885511,0.918637639999598,Kendall
HDL,hsa-miR-128-3p,-0.11831460144084134,0.04151402161727674,0.46240344581306875,Kendall
TG,hsa-miR-128-3p,0.0030195191039846525,0.9584342958006961,0.9938692956623455,Kendall
Creatinine,hsa-miR-128-3p,0.051829502844747175,0.37440279357913636,0.8147390089656731,Kendall
ALAT,hsa-miR-128-3p,0.06636036463527745,0.25450341180697833,0.7359443746962496,Kendall
ASAT,hsa-miR-128-3p,-0.03946589731762611,0.502227910580384,0.8791941259975782,Kendall
Glucose,hsa-miR-128-3p,0.023685153203257193,0.6859926956926181,0.939061775824085,Kendall
HbA1c,hsa-miR-128-3p,-0.14237867886818345,0.0560492703633584,0.4994403289298999,Kendall
Target_fibrotic,hsa-miR-128-3p,-0.11394524233889564,0.2124657246479447,0.6985507930191136,Kendall
Target_lipidic,hsa-miR-128-3p,0.054769260129745416,0.5489746397536546,0.8960514973040693,Kendall
Target_necrotic,hsa-miR-128-3p,0.10705393681285374,0.24157134516722137,0.7256622003976541,Kendall
Target_Calcific,hsa-miR-128-3p,0.058546450483520966,0.5217642982343551,0.8866054130293356,Kendall
Age,hsa-miR-1285-3p,-0.04305812394230909,0.5033499981013076,0.8794250268830734,Kendall
BMI,hsa-miR-1285-3p,0.03362408548096663,0.5960270609031788,0.9090864471880193,Kendall
WBC,hsa-miR-1285-3p,0.05758831254576473,0.3640767105784068,0.81329914480025145,Kendall
RBC,hsa-miR-1285-3p,-0.029954287888880618,0.6366660292756234,0.9193617630294536,Kendall
HGB,hsa-miR-1285-3p,-0.08858762159782999,0.16552334906367047,0.6500602038054134,Kendall
HCT,hsa-miR-1285-3p,-0.0632154024421552,0.32003659094049863,0.7873043683523644,Kendall
PLT,hsa-miR-1285-3p,0.12856024194128976,0.042595889795280874,0.4651528101124968,Kendall
NE_abs,hsa-miR-1285-3p,0.121874863985972,0.05554344074924556,0.4962168870049331,Kendall
LY_abs,hsa-miR-1285-3p,-0.05901215719042682,0.35904916582467844,0.8121939751068589,Kendall
MO_abs,hsa-miR-1285-3p,-0.009595392253326694,0.8856122068513835,0.9793936947984034,Kendall
Eo_Abs,hsa-miR-1285-3p,-0.04522345128508412,0.5143079045187968,0.8845677838378996,Kendall
Total_cholesterol,hsa-miR-1285-3p,-0.07087784742179482,0.26272324097753874,0.7419806424588653,Kendall
LDL,hsa-miR-1285-3p,-0.05132594248319135,0.4175924284066659,0.837374273581381,Kendall
HDL,hsa-miR-1285-3p,-0.05551821295079886,0.38177915934104956,0.8178379918633287,Kendall
TG,hsa-miR-1285-3p,0.018818614174065638,0.7664495881708365,0.9590338982329908,Kendall
Creatinine,hsa-miR-1285-3p,-0.09454280953736903,0.13845619881647436,0.6244515936200228,Kendall
ALAT,hsa-miR-1285-3p,-0.02352099926913466,0.7118982795637647,0.9501964812623032,Kendall
ASAT,hsa-miR-1285-3p,-0.12129297666223583,0.05935386106248231,0.5058157007948602,Kendall
Glucose,hsa-miR-1285-3p,0.1056838533059883,0.0990417186200824,0.5763741909081993,Kendall
HbA1c,hsa-miR-1285-3p,-0.09563382653090617,0.2477911710613604,0.7305291535477815,Kendall
Target_fibrotic,hsa-miR-1285-3p,-0.23199028049916887,0.023288021769909534,0.40171559214108377,Kendall
Target_lipidic,hsa-miR-1285-3p,0.13782448398659108,0.17771906864781403,0.6645651166374283,Kendall
Target_necrotic,hsa-miR-1285-3p,0.26460319165651186,0.009686006285711724,0.29520889953974494,Kendall
Target_Calcific,hsa-miR-1285-3p,0.036810265909462216,0.718866234426542,0.9542065658352192,Kendall
Age,hsa-miR-1287-5p,-0.04191769808192509,0.5410205114313871,0.8926106090505123,Kendall
BMI,hsa-miR-1287-5p,-0.1032630112712123,0.12661375987047777,0.611536778436825,Kendall
WBC,hsa-miR-1287-5p,-0.09778503456480507,0.14816559802827547,0.6320736169752766,Kendall
RBC,hsa-miR-1287-5p,-0.07281986830467821,0.28126915381987844,0.7530219678054602,Kendall
HGB,hsa-miR-1287-5p,-0.09829891677113445,0.14880622136509225,0.6320736169752766,Kendall
HCT,hsa-miR-1287-5p,-0.06881936623669221,0.3097615269521826,0.7809800137798807,Kendall
PLT,hsa-miR-1287-5p,0.0844041365538868,0.21163840286564312,0.6971617976750596,Kendall
NE_abs,hsa-miR-1287-5p,-0.04027877197020914,0.5527080466007033,0.8961206541945261,Kendall
LY_abs,hsa-miR-1287-5p,0.018159921721064055,0.7911516693824335,0.964626193016168,Kendall
MO_abs,hsa-miR-1287-5p,-0.02162843113771707,0.760971535253838,0.9582516085404255,Kendall
Eo_Abs,hsa-miR-1287-5p,0.07291706260300582,0.32396249458098997,0.789753587814136,Kendall
Total_cholesterol,hsa-miR-1287-5p,0.19883808444081338,0.003197584261199592,0.1835413365928566,Kendall
LDL,hsa-miR-1287-5p,0.14939866372553393,0.02683543073234901,0.4107609930764889,Kendall
HDL,hsa-miR-1287-5p,0.1945127687072286,0.004037606012283632,0.20007935404755145,Kendall
TG,hsa-miR-1287-5p,-0.10181635233477795,0.13159362899541008,0.6151476043049425,Kendall
Creatinine,hsa-miR-1287-5p,-0.10431053197017848,0.12509629222733384,0.611536778436825,Kendall
ALAT,hsa-miR-1287-5p,-0.10753224933762277,0.11315430353333794,0.5986862066908727,Kendall
ASAT,hsa-miR-1287-5p,-0.12242827565035208,0.07415058879206458,0.5338416092562829,Kendall
Glucose,hsa-miR-1287-5p,0.06959820339267728,0.3080972787637373,0.7782083080765027,Kendall
HbA1c,hsa-miR-1287-5p,-0.06665375052459704,0.4553825359289435,0.861410608591487,Kendall
Target_fibrotic,hsa-miR-1287-5p,-0.10172004885113299,0.34916729503557276,0.8054468614216428,Kendall
Target_lipidic,hsa-miR-1287-5p,-0.12884539521143512,0.235677379276626,0.7195220240757608,Kendall
Target_necrotic,hsa-miR-1287-5p,0.08479327584780044,0.4352823552248391,0.8479142711506481,Kendall
